@RELATION taxi

@ATTRIBUTE xValue REAL
@ATTRIBUTE yValue REAL

@DATA
37311.305, 26452.851
37311.184, 26477.313
37314.45, 26504.0
37329.566, 26539.583
37345.581, 26565.157
37364.922, 26605.188
37385.08, 26651.889
37405.287, 26688.584
37415.399, 26705.263
37437.62, 26678.576
37453.844, 26661.897
37471.585, 26681.912
37487.566, 26714.159
37494.213, 26744.181
37499.199, 26766.42
37484.647, 26788.659
37453.937, 26814.234
37446.192, 26834.249
37450.307, 26860.936
37458.636, 26894.294
37473.839, 26912.086
37497.67, 26903.19
37530.851, 26893.182
37567.391, 26890.959
37590.995, 26927.653
37609.424, 26979.914
37628.713, 27029.952
37648.845, 27081.102
37669.022, 27123.356
37682.453, 27155.602
37694.218, 27181.177
37703.418, 27210.088
37718.52, 27247.894
37731.023, 27295.708
37745.247, 27339.074
37763.751, 27375.768
37783.077, 27418.022
37810.791, 27481.404
37834.28, 27540.337
37855.277, 27588.151
37874.59, 27632.629
37891.355, 27677.107
37912.306, 27733.816
37930.764, 27779.406
37950.893, 27830.556
37972.765, 27872.81
37992.122, 27908.392
38008.081, 27943.974
38023.18, 27981.781
38037.389, 28027.371
38062.613, 28078.52
38081.902, 28127.446
38111.574, 28138.566
38131.256, 28109.655
38111.866, 28080.744
38075.309, 28087.416
38020.847, 28107.431
37959.546, 28136.342
37886.338, 28168.588
37809.733, 28200.835
37731.413, 28236.417
37649.707, 28269.776
37483.722, 28342.052
37567.136, 28306.47
37397.772, 28375.411
37308.425, 28408.769
37216.525, 28443.24
37135.663, 28478.822
37059.858, 28522.188
36984.992, 28547.763
36911.029, 28562.218
36831.187, 28563.33
36748.007, 28552.211
36672.497, 28535.531
36597.004, 28515.516
36555.44, 28504.397
36510.469, 28495.501
36412.843, 28485.494
36321.964, 28485.494
36246.368, 28486.606
36175.803, 28501.061
36098.381, 28528.86
36032.849, 28556.659
35969.855, 28586.681
35907.712, 28616.704
35841.306, 28650.062
35765.542, 28686.757
35688.883, 28733.458
35603.763, 28773.489
35517.878, 28795.728
35430.285, 28820.19
35342.677, 28847.989
35263.578, 28872.452
35181.942, 28894.691
35107.106, 28915.818
35033.124, 28935.833
34960.827, 28959.184
34892.719, 28994.767
