@relation taxi_clustered

@attribute Instance_number numeric
@attribute xValue numeric
@attribute yValue numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11,cluster12,cluster13,cluster14,cluster15,cluster16,cluster17,cluster18,cluster19,cluster20,cluster21,cluster22,cluster23,cluster24,cluster25,cluster26,cluster27,cluster28,cluster29,cluster30,cluster31,cluster32,cluster33,cluster34,cluster35,cluster36,cluster37,cluster38,cluster39}

@data
627,25431.75,43291.098,cluster2
628,25467.684,43193.247,cluster2
629,25502.767,43096.507,cluster2
630,25538.685,43004.215,cluster2
631,25593.222,42920.819,cluster2
632,25669.729,42858.55,cluster2
633,25757.193,42815.184,cluster2
634,25836.222,42759.587,cluster2
635,25893.292,42680.638,cluster2
636,25924.133,42587.234,cluster2
637,25938.891,42487.159,cluster2
638,25954.489,42389.307,cluster2
639,25969.244,42290.344,cluster2
640,25987.386,42192.492,cluster2
641,26014.835,42100.201,cluster2
642,26043.98,42007.909,cluster2
643,26072.275,41916.729,cluster2
644,26101.414,41826.661,cluster2
645,26130.538,41741.041,cluster2
646,26153.682,41668.764,cluster2
647,26179.401,41587.592,cluster2
648,26211.109,41490.852,cluster2
649,26245.397,41384.105,cluster2
650,26281.397,41272.91,cluster2
651,26319.114,41156.156,cluster2
652,26359.38,41038.289,cluster33
653,26399.662,40915.975,cluster33
654,26436.562,40791.436,cluster33
655,26469.246,40660.226,cluster33
656,26496.848,40527.904,cluster33
657,26517.674,40393.358,cluster33
658,26531.706,40262.148,cluster33
659,26541.494,40132.05,cluster33
660,26545.342,40003.064,cluster33
661,26541.553,39875.19,cluster33
662,26533.524,39747.316,cluster33
663,26520.403,39620.554,cluster33
664,26502.188,39494.903,cluster33
665,26477.192,39368.141,cluster33
666,26448.794,39243.603,cluster33
667,26418.696,39120.177,cluster33
668,26389.425,39002.31,cluster33
669,26360.141,38887.779,cluster33
670,26332.533,38778.808,cluster33
671,26305.761,38673.173,cluster33
672,26280.693,38565.314,cluster33
673,26251.402,38451.895,cluster33
674,26218.721,38337.364,cluster33
675,26190.269,38226.169,cluster33
676,26167.734,38120.534,cluster33
677,26162.168,38013.787,cluster33
678,26179.493,37910.376,cluster33
679,26219.696,37814.748,cluster33
680,26278.515,37732.464,cluster33
681,26343.266,37652.404,cluster33
682,26411.42,37570.119,cluster33
683,26479.575,37487.835,cluster33
684,26546.027,37407.775,cluster33
685,26611.628,37328.826,cluster33
686,26674.685,37249.878,cluster33
687,26740.273,37175.377,cluster33
688,26804.178,37097.541,cluster33
689,26867.231,37020.816,cluster33
690,26930.27,36948.54,cluster33
691,26987.355,36880.711,cluster33
692,27037.634,36818.442,cluster33
693,27086.205,36759.508,cluster33
694,27150.112,36682.784,cluster33
695,27188.46,36636.082,cluster33
696,27251.517,36560.469,cluster33
697,27281.382,36513.767,cluster33
698,27315.65,36422.588,cluster33
699,27345.62,36346.975,cluster33
700,27368.743,36288.042,cluster33
701,27395.353,36203.534,cluster33
702,27415.188,36115.69,cluster33
703,27403.463,36073.436,cluster33
704,27336.474,36062.316,cluster33
705,27315.912,36116.802,cluster33
706,27360.716,36162.392,cluster33
707,27427.615,36197.974,cluster33
708,27486.078,36220.213,cluster33
709,27530.292,36194.638,cluster33
710,27527.959,36136.817,cluster33
711,27477.959,36120.137,cluster33
712,27445.608,36150.16,cluster33
713,27424.238,36193.526,cluster33
714,27403.656,36253.571,cluster33
715,27383.914,36315.841,cluster33
716,27376.969,36359.207,cluster33
717,27379.441,36379.222,cluster33
718,27397.21,36392.565,cluster33
719,27420.946,36398.125,cluster33
720,27428.55,36407.02,cluster33
721,27428.546,36408.132,cluster33
722,27430.243,36408.132,cluster33
723,27412.454,36400.349,cluster33
724,27398.903,36393.677,cluster33
725,27381.065,36399.237,cluster33
726,27382.673,36423.7,cluster33
727,27383.428,36449.274,cluster33
728,27381.651,36471.513,cluster33
729,27368.027,36484.857,cluster33
730,27380.697,36500.424,cluster33
731,27400.138,36520.439,cluster33
732,27424.665,36541.566,cluster33
733,27447.549,36548.238,cluster33
734,27467.968,36532.671,cluster33
735,27511.372,36495.976,cluster33
736,27553.056,36465.954,cluster33
737,27595.592,36434.819,cluster33
738,27639.829,36402.573,cluster33
739,27684.067,36370.326,cluster33
740,27728.314,36335.856,cluster33
741,27772.556,36302.497,cluster33
742,27815.115,36265.803,cluster33
743,27851.764,36221.325,cluster33
744,27888.421,36174.623,cluster33
745,27931.842,36134.593,cluster33
746,27971.861,36096.786,cluster33
747,28009.368,36050.085,cluster33
748,28046.867,36005.607,cluster33
749,28115.944,35912.203,cluster17
750,28082.674,35960.017,cluster17
751,28150.075,35861.053,cluster17
752,28188.437,35813.239,cluster17
753,28224.25,35766.538,cluster17
754,28262.609,35719.836,cluster17
755,28304.333,35680.917,cluster17
756,28350.313,35638.663,cluster17
757,28403.917,35599.745,cluster17
758,28452.427,35561.939,cluster17
759,28492.472,35518.573,cluster17
760,28518.131,35465.199,cluster17
761,28540.388,35414.05,cluster17
