@relation taxi_clustered

@attribute Instance_number numeric
@attribute xValue numeric
@attribute yValue numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11,cluster12,cluster13,cluster14,cluster15,cluster16,cluster17,cluster18,cluster19,cluster20,cluster21,cluster22,cluster23,cluster24,cluster25,cluster26,cluster27,cluster28,cluster29,cluster30,cluster31,cluster32,cluster33,cluster34,cluster35,cluster36,cluster37,cluster38,cluster39}

@data
487,28284.62,34378.825,cluster37
488,28378.419,34260.958,cluster37
489,28051.553,34521.154,cluster37
490,28598.373,33999.65,cluster37
491,29233.107,33371.399,cluster28
492,29469.858,32953.306,cluster28
493,29161.644,32537.437,cluster28
494,28780.306,32142.695,cluster28
495,28732.35,31806.886,cluster1
496,28534.237,31438.831,cluster1
497,28422.406,31150.836,cluster1
498,28415.66,31138.605,cluster1
499,28583.117,31534.459,cluster1
500,28882.283,31672.34,cluster1
501,29388.894,31731.274,cluster29
502,29721.216,31636.758,cluster29
503,30019.369,31596.728,cluster29
504,30111.593,31888.059,cluster29
505,30316.268,32290.584,cluster28
506,29982.817,32674.207,cluster28
507,29445.948,33206.83,cluster28
508,29199.251,33346.936,cluster28
509,28510.871,34021.889,cluster37
510,28170.132,34356.586,cluster37
511,27978.998,34405.512,cluster37
512,27904.585,34790.246,cluster37
513,27751.897,35232.802,cluster37
514,27583.9,35689.813,cluster37
515,27375.268,36360.318,cluster9
516,27488.062,36606.059,cluster9
517,27838.116,36928.525,cluster9
518,27691.09,36767.292,cluster9
519,27510.512,36499.312,cluster9
520,27516.813,36400.349,cluster9
521,27579.59,36402.573,cluster9
522,27807.789,36411.468,cluster9
523,27951.574,36532.671,cluster9
524,27967.773,36511.544,cluster9
525,27720.62,36351.423,cluster9
526,27513.492,36380.334,cluster9
527,27511.807,36376.998,cluster9
528,27741.082,36324.736,cluster9
529,28052.556,36300.273,cluster9
530,28402.952,36304.721,cluster9
531,28566.198,35991.151,cluster37
532,28679.175,35735.403,cluster37
533,28867.751,35682.029,cluster37
534,29078.5,35600.857,cluster37
535,29196.495,35369.572,cluster37
536,29240.844,35093.808,cluster37
537,29209.495,34862.523,cluster37
538,29009.812,34709.074,cluster37
539,28796.9,34462.221,cluster37
540,28779.361,34166.443,cluster37
541,29016.191,33935.157,cluster28
542,28999.679,33815.067,cluster28
543,28936.412,33713.879,cluster28
544,28528.399,34099.726,cluster37
545,27927.791,34711.298,cluster37
546,27635.416,35525.245,cluster37
547,27377.139,36312.505,cluster9
548,27063.97,36808.434,cluster9
549,26556.207,37407.775,cluster9
550,26199.754,38181.691,cluster9
551,26432.235,39129.072,cluster9
552,26555.914,40130.938,cluster9
553,26324.042,41201.746,cluster18
554,26023.263,42114.656,cluster18
555,25638.223,42899.692,cluster18
556,25371.911,43690.288,cluster18
557,25273.144,44576.512,cluster18
558,25174.906,45311.51,cluster18
559,25216.567,45775.193,cluster18
560,25441.817,45820.783,cluster18
561,25695.887,45863.037,cluster18
562,25855.394,45805.216,cluster18
563,26008.436,45657.326,cluster18
564,26138.953,45409.362,cluster18
565,25749.7,45738.499,cluster18
566,25598.541,45833.014,cluster18
567,25310.356,45855.253,cluster18
568,25064.906,46022.046,cluster18
569,24719.19,46019.822,cluster18
570,25118.554,45437.16,cluster18
571,25269.131,44509.795,cluster18
572,25385.295,43492.361,cluster18
573,25906.112,42650.615,cluster18
574,26100.574,41824.437,cluster18
575,26414.167,40890.4,cluster9
576,26544.152,39859.623,cluster9
577,26342.571,38818.838,cluster9
578,26169.089,37974.869,cluster9
579,26682.324,37248.766,cluster9
580,27223.366,36602.723,cluster9
581,27416.061,36109.018,cluster9
582,27494.076,36121.249,cluster9
583,27437.188,36364.766,cluster9
584,27557.542,36399.237,cluster9
585,27888.413,36176.847,cluster9
586,27603.918,36015.614,cluster9
587,27572.543,35778.769,cluster37
588,27494.65,35964.465,cluster9
589,27416.181,36541.566,cluster9
590,27787.381,36882.935,cluster9
591,28016.699,36815.106,cluster9
592,28032.335,36717.254,cluster9
593,27761.427,36559.357,cluster9
594,27527.822,36405.908,cluster9
595,27493.125,36381.446,cluster9
596,27420.28,36348.087,cluster9
597,27386.014,36438.155,cluster9
598,27632.156,36412.58,cluster9
599,27994.02,36070.1,cluster9
600,28227.644,35766.538,cluster37
601,28465.176,35556.379,cluster37
602,28546.77,35297.295,cluster37
603,28415.141,35099.368,cluster37
604,28289.403,34912.561,cluster37
605,28111.326,34650.141,cluster37
606,28059.815,34581.2,cluster37
607,28207.558,34786.91,cluster37
608,27987.183,34486.684,cluster37
609,27282.192,34184.234,cluster14
610,26685.155,34058.583,cluster14
611,26370.872,33648.274,cluster14
612,25632.815,33043.374,cluster14
613,24721.271,32497.407,cluster10
614,24525.108,31215.329,cluster10
615,23606.86,31086.343,cluster36
616,23169.383,31433.271,cluster36
617,23342.03,31062.992,cluster36
618,24297.844,31129.709,cluster10
619,24564.179,31731.274,cluster10
620,25188.92,32777.618,cluster10
621,26214.076,33340.264,cluster14
622,26623.204,33817.29,cluster14
623,27180.453,34155.323,cluster14
624,27956.373,34327.675,cluster37
625,28085.208,34598.991,cluster37
626,28119.908,34624.566,cluster37
627,28089.493,34587.871,cluster37
628,28088.445,34641.245,cluster37
629,27518.595,35913.315,cluster9
630,28078.415,34600.103,cluster37
631,28103.754,34632.349,cluster37
632,28029.305,34570.08,cluster37
633,27439.063,34222.04,cluster37
634,26779.31,34073.039,cluster14
635,26386.527,33782.82,cluster14
636,25562.495,33004.456,cluster14
637,24645.945,32169.382,cluster10
638,24505.794,31149.724,cluster10
639,23659.508,31084.119,cluster36
640,23187.243,31423.264,cluster36
641,23387.889,31059.656,cluster36
642,24403.125,31129.709,cluster10
643,24577.36,31854.7,cluster10
644,25362.605,32875.469,cluster14
645,26342.796,33424.772,cluster14
646,26645.255,33821.738,cluster14
647,27294.926,34183.122,cluster14
648,27989.17,34408.848,cluster37
649,28122.408,34636.797,cluster37
650,28092.043,34586.759,cluster37
651,28194.9,34768.007,cluster37
652,27877.207,34850.291,cluster37
653,27423.276,36224.661,cluster9
654,26808.18,35736.515,cluster9
655,26030.597,35588.626,cluster23
656,25094.952,35755.418,cluster23
657,24312.049,35931.106,cluster23
658,24282.273,36217.989,cluster23
659,24193.817,36021.174,cluster23
660,24582.242,35817.687,cluster23
661,25468.635,35656.455,cluster23
662,26491.338,35593.073,cluster23
663,27117.682,35794.336,cluster9
664,27050.694,36017.838,cluster9
665,27481.345,36122.361,cluster9
666,27409.202,36361.43,cluster9
667,27595.686,36409.244,cluster9
668,27892.692,36166.839,cluster9
669,27613.223,36023.398,cluster9
670,27564.833,35798.784,cluster37
671,27720.197,35315.086,cluster37
672,27812.356,35176.093,cluster37
673,27993.745,34775.791,cluster37
674,28205.407,34908.113,cluster37
675,28351.006,34779.127,cluster37
676,28525.115,34965.934,cluster37
677,28656.88,35128.279,cluster37
678,28933.131,35229.466,cluster37
679,29066.143,35285.064,cluster37
680,28780.57,35181.652,cluster37
681,28667.945,35119.383,cluster37
682,28430.638,34815.821,cluster37
683,28465.425,34593.431,cluster37
684,28800.14,34280.973,cluster37
685,28931.194,33967.404,cluster28
686,29007.446,33781.708,cluster28
687,29014.978,33809.507,cluster28
688,28992.996,33787.268,cluster28
689,28987.093,33777.26,cluster28
690,28900.633,33748.35,cluster28
691,28561.587,34076.375,cluster37
692,28257.408,34393.28,cluster37
693,28247.166,34408.848,cluster37
694,28304.194,34364.37,cluster37
695,28343.484,34297.653,cluster37
696,28242.416,34317.668,cluster37
697,28786.637,33817.29,cluster28
698,29323.399,33289.115,cluster28
699,29988.932,32630.841,cluster28
700,30690.994,31994.806,cluster29
