@relation taxi_clustered

@attribute Instance_number numeric
@attribute xValue numeric
@attribute yValue numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11,cluster12,cluster13,cluster14,cluster15,cluster16,cluster17,cluster18,cluster19,cluster20,cluster21,cluster22,cluster23,cluster24,cluster25,cluster26,cluster27,cluster28,cluster29,cluster30,cluster31,cluster32,cluster33,cluster34,cluster35,cluster36,cluster37,cluster38,cluster39}

@data
495,28561.14,31508.884,cluster0
496,28444.242,31214.217,cluster31
497,28430.813,31173.075,cluster31
498,28583.117,31534.459,cluster0
499,28882.283,31672.34,cluster0
500,29388.894,31731.274,cluster0
501,29721.216,31636.758,cluster0
502,29957.45,31582.272,cluster0
503,30057.921,31722.378,cluster0
504,30280.905,32218.307,cluster0
505,30097.005,32564.124,cluster0
506,29445.948,33206.83,cluster8
507,29359.426,33192.375,cluster8
508,28510.871,34021.889,cluster38
509,28170.132,34356.586,cluster38
510,28002.98,34346.578,cluster38
511,27943.021,34723.529,cluster38
512,27751.897,35232.802,cluster38
513,27627.645,35561.939,cluster17
514,27399.417,36252.459,cluster17
515,27467.753,36591.604,cluster17
516,27636.98,36716.142,cluster17
517,27778.93,36874.039,cluster17
518,27510.512,36499.312,cluster17
519,27516.813,36400.349,cluster17
520,27535.531,36385.893,cluster17
521,27744.34,36361.43,cluster17
522,27968.485,36548.238,cluster17
523,27967.773,36511.544,cluster17
524,27802.673,36418.14,cluster17
525,27538.901,36392.565,cluster17
526,27511.807,36376.998,cluster17
527,27802.347,36276.922,cluster17
528,28143.894,36379.222,cluster17
529,28449.08,36222.437,cluster17
530,28540.545,36043.413,cluster17
531,28684.49,35676.47,cluster17
532,28787.192,35668.686,cluster17
533,29078.5,35600.857,cluster17
534,29197.573,35310.638,cluster38
535,29240.844,35093.808,cluster38
536,29249.974,34928.128,cluster38
537,29035.207,34725.753,cluster38
538,28796.9,34462.221,cluster38
539,28786.833,34209.809,cluster38
540,29016.191,33935.157,cluster8
541,28993.785,33802.835,cluster8
542,28898.078,33750.574,cluster8
543,28415.958,34208.697,cluster38
544,27963.637,34656.812,cluster38
545,27586.511,35672.022,cluster17
546,27426.052,36161.28,cluster17
547,27190.937,36654.985,cluster17
548,26612.437,37339.946,cluster17
549,26180.555,38092.735,cluster33
550,26432.235,39129.072,cluster33
551,26541.646,40328.865,cluster33
552,26293.194,41294.037,cluster33
553,26053.248,42024.588,cluster33
554,25786.027,42811.848,cluster4
555,25363.141,43777.02,cluster4
556,25343.03,43959.38,cluster4
557,25191.243,45241.457,cluster4
558,25112.377,45510.549,cluster4
559,25471.468,45823.007,cluster4
560,25716.194,45871.932,cluster4
561,25880.9,45780.753,cluster4
562,25986.381,45663.998,cluster4
563,26121.966,45420.481,cluster4
564,25820.823,45755.178,cluster4
565,25599.484,45805.216,cluster4
566,25346.048,45825.231,cluster4
567,25226.887,45982.015,cluster4
568,24754.013,45995.359,cluster4
569,25087.805,45509.437,cluster4
570,25281.341,44407.495,cluster4
571,25406.828,43391.174,cluster4
572,25776.732,42802.953,cluster4
573,25974.553,42225.851,cluster33
574,26443.345,40791.436,cluster33
575,26545.962,40067.557,cluster33
576,26318.309,38723.211,cluster33
577,26247.219,38435.216,cluster33
578,26735.143,37186.497,cluster17
579,26958.362,36921.853,cluster17
580,27377.244,36283.594,cluster17
581,27494.076,36121.249,cluster17
582,27382.985,36338.079,cluster17
583,27557.542,36399.237,cluster17
584,27679.792,36379.222,cluster17
585,27603.918,36015.614,cluster17
586,27542.446,35887.74,cluster17
587,27544.412,35814.351,cluster17
588,27416.181,36541.566,cluster17
589,27713.911,36790.643,cluster17
590,28016.699,36815.106,cluster17
591,28087.328,36758.396,cluster17
592,27828.42,36568.253,cluster17
593,27527.822,36405.908,cluster17
594,27493.129,36380.334,cluster17
595,27476.193,36371.438,cluster17
596,27387.057,36384.781,cluster17
597,27632.156,36412.58,cluster17
598,27994.02,36070.1,cluster17
599,28195.238,35809.904,cluster17
600,28481.366,35538.588,cluster17
601,28546.77,35297.295,cluster38
602,28402.475,35082.689,cluster38
603,28301.208,34932.576,cluster38
604,28117.233,34659.036,cluster38
605,28078.415,34600.103,cluster38
606,28061.529,34576.752,cluster38
607,28141.727,34690.171,cluster38
608,28234.51,34841.396,cluster38
